Year,Indicator,Franklin,Richland,Richland_minus_Franklin
2017,IGS,42.0,48.0,6.0
2017,Place,44.0,46.0,2.0
2017,Economy,55.0,62.0,7.0
2017,Community,28.0,36.0,8.0
2017,Net_Occupancy,58.0,48.0,-10.0
2017,Real_Estate,41.0,46.0,5.0
2017,Park_Land,19.0,43.0,24.0
2017,Affordable_Housing,93.0,79.0,-14.0
2017,Internet_Access,13.0,6.0,-7.0
2017,Travel_Time,31.0,48.0,17.0
2017,New_Businesses,71.0,70.0,-1.0
2017,Small_Biz_Loans,74.0,73.0,-1.0
2017,Min_Women_Biz,,91.0,
2017,Labor_Engagement,48.0,38.0,-10.0
2017,Comm_Diversity,27.0,25.0,-2.0
2017,Personal_Income,16.0,37.0,21.0
2017,Female_Poverty,27.0,53.0,26.0
2017,Gini,41.0,34.0,-7.0
2017,Early_Education,78.0,40.0,-38.0
2017,Health_Insurance,13.0,9.0,-4.0
2018,IGS,42.0,42.0,0.0
2018,Place,42.0,42.0,0.0
2018,Economy,54.0,49.0,-5.0
2018,Community,28.0,32.0,4.0
2018,Net_Occupancy,45.0,41.0,-4.0
2018,Real_Estate,41.0,42.0,1.0
2018,Park_Land,19.0,43.0,24.0
2018,Affordable_Housing,89.0,73.0,-16.0
2018,Internet_Access,13.0,6.0,-7.0
2018,Travel_Time,39.0,49.0,10.0
2018,New_Businesses,71.0,70.0,-1.0
2018,Small_Biz_Loans,72.0,31.0,-41.0
2018,Min_Women_Biz,,91.0,
2018,Labor_Engagement,46.0,27.0,-19.0
2018,Comm_Diversity,27.0,25.0,-2.0
2018,Personal_Income,19.0,33.0,14.0
2018,Female_Poverty,29.0,35.0,6.0
2018,Gini,47.0,28.0,-19.0
2018,Early_Education,55.0,47.0,-8.0
2018,Health_Insurance,20.0,16.0,-4.0
2019,IGS,38.0,44.0,6.0
2019,Place,44.0,40.0,-4.0
2019,Economy,32.0,54.0,22.0
2019,Community,37.0,37.0,0.0
2019,Net_Occupancy,37.0,30.0,-7.0
2019,Real_Estate,65.0,54.0,-11.0
2019,Park_Land,19.0,43.0,24.0
2019,Affordable_Housing,83.0,60.0,-23.0
2019,Internet_Access,9.0,4.0,-5.0
2019,Travel_Time,41.0,43.0,2.0
2019,New_Businesses,27.0,61.0,34.0
2019,Small_Biz_Loans,30.0,62.0,32.0
2019,Min_Women_Biz,,91.0,
2019,Labor_Engagement,47.0,24.0,-23.0
2019,Comm_Diversity,27.0,25.0,-2.0
2019,Personal_Income,28.0,40.0,12.0
2019,Female_Poverty,31.0,27.0,-4.0
2019,Gini,56.0,24.0,-32.0
2019,Early_Education,62.0,53.0,-9.0
2019,Health_Insurance,33.0,30.0,-3.0
2020,IGS,42.0,43.0,1.0
2020,Place,40.0,46.0,6.0
2020,Economy,43.0,50.0,7.0
2020,Community,41.0,34.0,-7.0
2020,Net_Occupancy,35.0,51.0,16.0
2020,Real_Estate,66.0,60.0,-6.0
2020,Park_Land,19.0,43.0,24.0
2020,Affordable_Housing,62.0,58.0,-4.0
2020,Internet_Access,7.0,3.0,-4.0
2020,Travel_Time,34.0,35.0,1.0
2020,New_Businesses,61.0,34.0,-27.0
2020,Small_Biz_Loans,47.0,74.0,27.0
2020,Min_Women_Biz,,93.0,
2020,Labor_Engagement,39.0,21.0,-18.0
2020,Comm_Diversity,26.0,24.0,-2.0
2020,Personal_Income,36.0,30.0,-6.0
2020,Female_Poverty,31.0,22.0,-9.0
2020,Gini,51.0,21.0,-30.0
2020,Early_Education,65.0,61.0,-4.0
2020,Health_Insurance,37.0,45.0,8.0
2021,IGS,34.0,46.0,12.0
2021,Place,36.0,50.0,14.0
2021,Economy,22.0,42.0,20.0
2021,Community,44.0,44.0,0.0
2021,Net_Occupancy,45.0,72.0,27.0
2021,Real_Estate,63.0,72.0,9.0
2021,Park_Land,19.0,43.0,24.0
2021,Affordable_Housing,33.0,36.0,3.0
2021,Internet_Access,4.0,4.0,0.0
2021,Travel_Time,18.0,24.0,6.0
2021,New_Businesses,18.0,21.0,3.0
2021,Small_Biz_Loans,25.0,47.0,22.0
2021,Min_Women_Biz,,95.0,
2021,Labor_Engagement,18.0,36.0,18.0
2021,Comm_Diversity,28.0,21.0,-7.0
2021,Personal_Income,40.0,43.0,3.0
2021,Female_Poverty,55.0,39.0,-16.0
2021,Gini,51.0,33.0,-18.0
2021,Early_Education,21.0,52.0,31.0
2021,Health_Insurance,66.0,53.0,-13.0
2022,IGS,36.0,50.0,14.0
2022,Place,34.0,58.0,24.0
2022,Economy,32.0,51.0,19.0
2022,Community,42.0,42.0,0.0
2022,Net_Occupancy,44.0,84.0,40.0
2022,Real_Estate,42.0,72.0,30.0
2022,Park_Land,19.0,43.0,24.0
2022,Affordable_Housing,61.0,49.0,-12.0
2022,Internet_Access,5.0,8.0,3.0
2022,Travel_Time,12.0,51.0,39.0
2022,New_Businesses,37.0,14.0,-23.0
2022,Small_Biz_Loans,51.0,65.0,14.0
2022,Min_Women_Biz,,98.0,
2022,Labor_Engagement,14.0,58.0,44.0
2022,Comm_Diversity,24.0,29.0,5.0
2022,Personal_Income,32.0,40.0,8.0
2022,Female_Poverty,78.0,33.0,-45.0
2022,Gini,52.0,47.0,-5.0
2022,Early_Education,14.0,47.0,33.0
2022,Health_Insurance,60.0,47.0,-13.0
2023,IGS,39.0,59.0,20.0
2023,Place,33.0,62.0,29.0
2023,Economy,42.5,57.0,14.5
2023,Community,42.0,58.0,16.0
2023,Net_Occupancy,41.0,85.0,44.0
2023,Real_Estate,46.0,72.0,26.0
2023,Park_Land,19.0,43.0,24.0
2023,Affordable_Housing,56.0,72.0,16.0
2023,Internet_Access,2.0,3.0,1.0
2023,Travel_Time,9.0,70.0,61.0
2023,New_Businesses,73.0,68.0,-5.0
2023,Small_Biz_Loans,60.0,42.0,-18.0
2023,Min_Women_Biz,12.0,92.0,80.0
2023,Labor_Engagement,14.0,58.0,44.0
2023,Comm_Diversity,28.0,27.0,-1.0
2023,Personal_Income,36.0,56.0,20.0
2023,Female_Poverty,69.0,65.0,-4.0
2023,Gini,42.0,56.0,14.0
2023,Early_Education,19.0,69.0,50.0
2023,Health_Insurance,59.0,51.0,-8.0
2024,IGS,35.0,58.0,23.0
2024,Place,32.0,62.0,30.0
2024,Economy,31.0,54.0,23.0
2024,Community,42.0,58.0,16.0
2024,Net_Occupancy,38.0,85.0,47.0
2024,Real_Estate,46.0,72.0,26.0
2024,Park_Land,19.0,43.0,24.0
2024,Affordable_Housing,56.0,72.0,16.0
2024,Internet_Access,2.0,3.0,1.0
2024,Travel_Time,9.0,70.0,61.0
2024,New_Businesses,16.0,38.0,22.0
2024,Small_Biz_Loans,44.0,50.0,6.0
2024,Min_Women_Biz,20.0,86.0,66.0
2024,Labor_Engagement,14.0,58.0,44.0
2024,Comm_Diversity,62.0,51.0,-11.0
2024,Personal_Income,36.0,56.0,20.0
2024,Female_Poverty,69.0,65.0,-4.0
2024,Gini,42.0,56.0,14.0
2024,Early_Education,19.0,69.0,50.0
2024,Health_Insurance,59.0,51.0,-8.0
2025,IGS,38.0,59.0,21.0
2025,Place,32.0,62.0,30.0
2025,Economy,40.0,56.0,16.0
2025,Community,42.0,58.0,16.0
2025,Net_Occupancy,38.0,85.0,47.0
2025,Real_Estate,46.0,72.0,26.0
2025,Park_Land,19.0,43.0,24.0
2025,Affordable_Housing,56.0,72.0,16.0
2025,Internet_Access,2.0,3.0,1.0
2025,Travel_Time,9.0,70.0,61.0
2025,New_Businesses,73.0,68.0,-5.0
2025,Small_Biz_Loans,44.0,50.0,6.0
2025,Min_Women_Biz,15.0,82.0,67.0
2025,Labor_Engagement,14.0,58.0,44.0
2025,Comm_Diversity,36.0,21.0,-15.0
2025,Personal_Income,36.0,56.0,20.0
2025,Female_Poverty,69.0,65.0,-4.0
2025,Gini,42.0,56.0,14.0
2025,Early_Education,19.0,69.0,50.0
2025,Health_Insurance,59.0,51.0,-8.0
